Год,Метка_норм,Категория дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Обязательные работы,Средняя сумма штрафа (тыс. руб.)
2017,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",247839,70.0,38967,0.0,207708,85041978,0,0,0,10285,3062,0,343
2016,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",217507,68.0,37659,0.0,182987,60600637,0,1,0,13734,3116,0,279
2017,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",43076,78.0,2904,0.0,33870,471273,1,54,0,2729,3936,4,11
2016,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",40077,80.0,2230,0.0,32833,422133,0,52,0,3497,4169,8,11
2017,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",666787,83.0,45515,0.0,523551,1458855,0,7414,0,2,2912,260,2
2016,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",559379,84.0,33145,0.0,450782,1269170,0,4680,0,0,2531,12,2
2017,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",6339,73.0,1272,0.0,5763,87549,15,2207,0,0,14,2,14
2016,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",6603,75.0,1150,0.0,6038,89249,17,2198,0,0,20,2,14
2017,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",195883,90.0,2997,0.0,177465,721084,9108,5990,110472,27,6820,409,4
2016,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",208164,89.0,4138,0.0,189436,927123,9866,6763,112312,13,6291,263,4
2021,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",248898,62.0,34884,8.0,201684,53617537,0,0,0,6385,3735,0,215
2023,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",132660,69.0,17355,9.0,101877,44971238,0,0,0,3361,2279,1,339
2024,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",21930,75.0,1472,5.0,15307,871347,0,15,0,2542,1165,32,39
2020,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",198460,60.0,33450,10.0,161586,35799243,0,0,0,6280,2392,0,180
2022,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",168651,63.0,28244,10.0,137827,51975821,0,0,0,3799,3877,0,308
2022,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",32590,65.0,4941,9.0,19895,789368,0,11,0,2046,1257,94,24
2021,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",57290,66.0,5942,6.0,33479,1227255,0,23,0,5125,2325,36,21
2023,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",17323,72.0,1362,6.0,12126,447390,0,17,0,1219,1000,1,26
2024,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",884344,85.0,57657,5.0,564704,2337781,0,11618,0,0,804,203,2
2020,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",53065,67.0,5326,6.0,32442,861974,0,50,0,5489,1934,8,16
2020,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1068866,85.0,64802,5.0,847270,1779080,0,9461,0,0,1102,265,2
2022,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1214881,86.0,70009,4.0,884098,1882703,0,13945,0,0,1192,247,1
2021,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1254981,85.0,72169,4.0,945681,2045795,0,13197,0,0,1896,281,2
2023,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",980470,83.0,68848,6.0,642913,1569268,0,14352,0,0,836,244,2
2019,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",283513,71.0,35904,9.0,242568,58380575,0,0,0,8380,2361,0,205
2018,"Правонарушения, совершенные юридическими лицами","Правонарушения, совершенные юридическими лицами",281710,71.3,38006,0.0,239416,73902154,0,0,0,9387,2435,1,262
2024,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",20741,65.0,5212,16.0,19981,461924,5,5531,0,0,15,3,22
2020,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",5534,68.0,1530,18.0,5109,75831,6,1897,0,0,8,1,14
2022,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",4725,62.0,1695,22.0,4355,77246,10,1728,0,0,8,7,16
2021,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",6657,63.0,2565,24.0,6172,84107,8,1994,0,0,11,1,13
2023,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",9614,65.0,2758,19.0,9092,219992,5,3578,0,0,42,0,23
2019,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",43496,76.0,3404,6.0,32233,675021,1,25,0,3597,2271,6,15
2018,"Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица","Правонарушения, совершенные осуществляющими предпринимательскую деятельность без образования юридического лица",52878,79.7,3476,0.0,96907,578136,1,25081,0,3395,2958,5,11
2024,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",293577,90.0,4066,1.0,275844,1615246,9577,5773,174021,77,4429,884,5
2020,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",126305,88.0,2709,1.0,101956,460344,6056,3187,33599,42,3291,435,4
2022,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",179799,88.0,4716,2.0,156092,762002,9126,5124,85075,28,3029,516,4
2021,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",175472,88.0,3397,1.0,138861,637287,7386,3943,32876,45,3611,475,4
2023,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",229463,90.0,3389,1.0,213703,935355,9296,5338,129698,36,3291,501,4
2019,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1181596,85.0,63758,4.0,948483,1870216,0,9040,0,0,1529,670,1
2018,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1161361,84.4,65920,0.0,997423,1770411,0,1233207,0,2,2068,304,2
2024,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",55,71.0,13,16.0,38,193,0,0,0,0,0,0,3
2019,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",5668,71.0,1220,15.0,5251,72802,9,1913,0,0,17,4,12
2018,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",6092,75.1,1118,0.0,5591,77569,2,1939,0,0,17,0,13
2019,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",206722,91.0,2989,1.0,188048,742767,8103,4164,125189,38,7136,392,3
2018,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",180655,90.8,2769,0.0,163357,686844,8206,4538,103447,36,6752,367,4
