Год,Метка_норм,Показатель,Удовлетворено
2017,Доставление,Доставление,582346
2016,Доставление,Доставление,571934
2017,Административное задержание,Административное задержание,609691
2016,Административное задержание,Административное задержание,590426
2017,Привод,Привод,25586
2016,Привод,Привод,29557
2017,Досмотр/осмотр,Досмотр/осмотр,90561
2016,Досмотр/осмотр,Досмотр/осмотр,71545
2017,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,337547
2016,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,344559
2017,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,254042
2016,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,256925
2017,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,248441
2016,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,235464
2017,Изъятие вещей и документов,Изъятие вещей и документов,50971
2016,Изъятие вещей и документов,Изъятие вещей и документов,39179
2017,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",178290
2016,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",177920
2017,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",6328
2016,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",4386
2017,Залог за арестованное судно,Залог за арестованное судно,27
2016,Залог за арестованное судно,Залог за арестованное судно,13
2017,Временный запрет деятельности,Временный запрет деятельности,3161
2016,Временный запрет деятельности,Временный запрет деятельности,3156
2020,Доставление,Доставление,414171
2022,Доставление,Доставление,359166
2021,Доставление,Доставление,396883
2023,Доставление,Доставление,325781
2019,Доставление,Доставление,540596
2018,Доставление,Доставление,525958
2024,Доставление,Доставление,298266
2020,Административное задержание,Административное задержание,409054
2022,Административное задержание,Административное задержание,378244
2021,Административное задержание,Административное задержание,391155
2023,Административное задержание,Административное задержание,346693
2019,Административное задержание,Административное задержание,547854
2018,Административное задержание,Административное задержание,544603
2024,Административное задержание,Административное задержание,308054
2020,Привод,Привод,14871
2022,Привод,Привод,11034
2021,Привод,Привод,12837
2023,Привод,Привод,10133
2019,Привод,Привод,18400
2018,Привод,Привод,19075
2024,Привод,Привод,7178
2020,Досмотр/осмотр,Досмотр/осмотр,66772
2022,Досмотр/осмотр,Досмотр/осмотр,51650
2021,Досмотр/осмотр,Досмотр/осмотр,67009
2023,Досмотр/осмотр,Досмотр/осмотр,46221
2019,Досмотр/осмотр,Досмотр/осмотр,72615
2018,Досмотр/осмотр,Досмотр/осмотр,84546
2024,Досмотр/осмотр,Досмотр/осмотр,43453
2020,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,262411
2022,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,229746
2021,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,246458
2023,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,208520
2019,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,262441
2018,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,280878
2024,Отстранение от управления транспортным средством соответствующего вида,Отстранение от управления транспортным средством соответствующего вида,183976
2020,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,200160
2022,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,179759
2021,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,191310
2023,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,165717
2019,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,209202
2018,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,220977
2024,Освидетельствование на состояние алкогольного опьянения,Освидетельствование на состояние алкогольного опьянения,145109
2020,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,179539
2022,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,157744
2021,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,166175
2023,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,136375
2019,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,226384
2018,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,227256
2024,Медицинское освидетельствование на состояние опьянения,Медицинское освидетельствование на состояние опьянения,109812
2020,Изъятие вещей и документов,Изъятие вещей и документов,31373
2022,Изъятие вещей и документов,Изъятие вещей и документов,23956
2021,Изъятие вещей и документов,Изъятие вещей и документов,28880
2023,Изъятие вещей и документов,Изъятие вещей и документов,22257
2019,Изъятие вещей и документов,Изъятие вещей и документов,42037
2018,Изъятие вещей и документов,Изъятие вещей и документов,44901
2024,Изъятие вещей и документов,Изъятие вещей и документов,19803
2020,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",145929
2022,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",131001
2021,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",140566
2023,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",124320
2019,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",141010
2018,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",153433
2024,"Задержание транспортного средства, запрещение эксплуатации","Задержание транспортного средства, запрещение эксплуатации",113224
2020,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",3544
2022,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",3393
2021,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",3672
2023,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",2456
2019,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",4233
2018,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",5054
2024,"Арест товаров, транспортных средств и иных вещей","Арест товаров, транспортных средств и иных вещей",2090
2020,Залог за арестованное судно,Залог за арестованное судно,2
2022,Залог за арестованное судно,Залог за арестованное судно,13
2021,Залог за арестованное судно,Залог за арестованное судно,9
2023,Временный запрет деятельности,Временный запрет деятельности,881
2019,Залог за арестованное судно,Залог за арестованное судно,17
2018,Залог за арестованное судно,Залог за арестованное судно,15
2024,Временный запрет деятельности,Временный запрет деятельности,1025
2024,"Помещение иностранных граждан или лиц без гражданства, подлежащих принудительному выдворению, в специальные учреждения","Помещение иностранных граждан или лиц без гражданства, подлежащих принудительному выдворению, в специальные учреждения",66330
2020,Временный запрет деятельности,Временный запрет деятельности,2338
2022,Временный запрет деятельности,Временный запрет деятельности,761
2021,Временный запрет деятельности,Временный запрет деятельности,1586
2023,"Помещение иностранных граждан или лиц без гражданства, подлежащих принудительному выдворению, в специальные учреждения","Помещение иностранных граждан или лиц без гражданства, подлежащих принудительному выдворению, в специальные учреждения",796
2019,Временный запрет деятельности,Временный запрет деятельности,2145
2018,Временный запрет деятельности,Временный запрет деятельности,3072
